episode,reward,steps
519,-11.5,15
520,-11.0,10
521,-12.5,25
522,-10.5,5
523,-11.5,15
524,-11.5,15
525,-12.5,25
526,-10.5,5
527,-10.4,20
528,-10.5,5
529,-5.3,15
530,5.100000000000001,30
531,-11.0,10
532,-11.5,15
533,3.600000000000003,20
534,-9.9,5
535,-11.0,10
536,-11.0,10
537,-10.6,15
538,0.1000000000000032,20
539,-5.199999999999993,30
540,-10.5,5
541,1.7763568394002505e-15,40
542,-11.0,10
543,-10.5,5
544,-3.9999999999999956,25
545,12.799999999999985,40
546,-3.8999999999999995,20
547,-10.5,5
548,-5.5,15
549,-10.5,5
550,-10.5,5
551,-3.5999999999999988,15
552,-6.5,5
553,-10.2,5
554,-9.299999999999999,5
555,-10.5,5
556,-3.299999999999999,15
557,-3.6999999999999966,20
558,-11.5,15
559,0.9000000000000021,20
560,-11.0,10
561,1.4000000000000004,20
562,-11.5,15
563,-3.299999999999998,15
564,-1.6999999999999993,20
565,-10.5,5
566,-4.399999999999999,15
567,-2.799999999999998,20
568,-12.5,25
569,-11.5,15
570,-9.6,5
571,-4.699999999999999,15
572,-11.0,10
573,-2.8999999999999986,20
574,0.6999999999999993,20
575,5.899999999999997,35
576,-11.4,20
577,-4.099999999999999,20
578,-10.5,5
579,-8.3,25
580,-10.5,5
581,-5.8999999999999995,15
582,-10.5,5
583,-0.5999999999999996,20
584,4.600000000000003,20
585,-10.9,15
586,-11.0,10
587,-8.900000000000002,30
588,-10.5,5
589,-10.5,5
590,-0.9999999999999982,15
591,-11.0,10
592,-10.5,5
593,-10.5,5
594,-1.6999999999999993,45
595,-0.5999999999999996,20
596,-1.200000000000001,20
597,-2.099999999999998,20
598,-3.099999999999998,15
599,-12.0,20
600,0.8000000000000025,20
601,-11.2,15
602,-3.4999999999999902,45
603,-12.3,35
604,-11.0,10
605,-4.099999999999999,15
606,-10.5,5
607,-4.199999999999996,20
608,-12.0,20
609,-4.099999999999998,15
610,1.0999999999999996,20
611,7.799999999999988,40
612,-11.5,15
613,-11.0,10
614,-6.699999999999999,15
615,-7.1,20
616,-9.9,5
617,-1.4000000000000004,20
618,-8.6,5
619,-0.8999999999999986,15
620,-11.5,15
621,-10.5,5
622,-10.2,5
623,-10.5,5
624,-11.5,15
625,-11.0,10
626,-10.5,5
627,-11.0,10
628,-10.7,10
629,-10.5,5
630,-11.5,15
631,2.100000000000003,20
632,-10.5,5
633,6.799999999999992,45
634,-11.0,10
635,-2.299999999999998,15
636,-11.7,20
637,-3.799999999999999,20
638,-10.2,5
639,4.900000000000002,20
640,-4.099999999999999,10
641,-11.0,10
642,-10.5,5
643,-10.5,5
644,-11.5,15
