episode,reward,steps
533,10.399999999999979,70
534,-1.6999999999999975,15
535,-5.199999999999992,35
536,-11.0,10
537,-0.29999999999999893,15
538,-10.799999999999999,20
539,-4.599999999999999,15
540,-9.0,25
541,-2.8999999999999915,40
542,-9.8,30
543,6.900000000000004,70
544,-4.299999999999995,25
545,-8.6,5
546,-12.5,25
547,-10.7,10
548,17.89999999999995,90
549,-10.2,20
550,43.29999999999995,115
551,-10.5,5
552,-7.899999999999998,40
553,-9.600000000000001,40
554,16.699999999999967,75
555,-12.5,25
556,-2.9999999999999982,40
557,-12.9,35
558,-10.5,5
559,28.699999999999946,140
560,18.69999999999998,65
561,-10.7,10
562,11.899999999999993,65
563,-9.4,15
564,35.99999999999998,175
565,-6.199999999999999,20
566,0.8000000000000025,30
567,7.999999999999998,50
568,1.3000000000000025,50
569,-10.799999999999999,20
570,-10.5,5
571,-12.0,20
572,-4.599999999999998,65
573,-7.5,25
574,3.400000000000004,85
575,20.19999999999996,130
576,-11.0,25
577,35.09999999999995,120
578,-10.7,10
579,-11.0,10
580,-4.6,15
581,2.6000000000000085,35
582,-5.1999999999999975,50
583,-12.5,25
584,26.799999999999912,150
585,-10.5,5
586,-10.5,5
587,-1.6999999999999975,40
588,31.399999999999977,90
589,-10.4,10
590,-12.5,25
591,-10.2,5
592,-4.799999999999997,20
593,-10.4,45
594,-12.700000000000001,30
595,-14.200000000000001,45
596,13.099999999999953,90
597,-10.499999999999998,55
598,-0.09999999999999964,40
599,-11.2,30
600,15.899999999999972,80
601,-3.6999999999999993,15
602,-8.200000000000001,30
603,7.099999999999943,95
604,0.40000000000000036,20
605,-11.5,15
606,-10.5,5
607,-2.999999999999986,50
608,-4.099999999999999,20
609,-10.6,15
610,-2.6000000000000005,50
611,-7.300000000000001,25
612,-12.5,25
613,-6.9,40
614,-12.5,25
615,-9.7,15
616,27.99999999999995,90
617,24.19999999999994,130
618,-12.5,25
619,-11.2,15
620,-9.9,25
621,-10.2,35
622,-10.5,5
623,-10.2,55
624,2.4000000000000092,75
625,-5.8999999999999995,35
626,-1.1999999999999957,40
627,-11.0,10
628,-11.0,10
629,-14.5,45
630,-11.5,30
631,26.299999999999855,170
632,-10.5,5
633,-5.099999999999995,20
634,-0.29999999999999716,15
635,10.599999999999975,65
636,-1.9999999999999964,50
637,-11.0,10
638,15.99999999999993,105
639,22.79999999999997,80
640,1.900000000000004,55
641,-8.3,25
642,-11.5,15
643,-3.1000000000000005,45
644,-10.0,15
645,-9.799999999999999,10
646,-11.0,10
647,16.899999999999977,60
648,-1.3999999999999986,40
649,-8.200000000000001,30
650,-10.299999999999999,15
651,-9.000000000000002,35
652,-6.499999999999998,40
653,-3.099999999999996,50
654,-10.5,5
655,-11.5,15
656,-10.2,5
657,-10.5,5
658,-10.7,10
659,-8.900000000000002,30
660,-11.5,15
661,-12.5,25
662,24.59999999999998,155
663,25.19999999999994,160
664,-3.299999999999999,15
665,-6.899999999999999,15
666,-10.5,40
667,-1.6999999999999993,15
668,-10.2,20
669,0.9000000000000057,65
670,1.9000000000000075,75
671,0.20000000000000284,20
672,19.699999999999974,75
673,8.299999999999974,95
674,-8.1,25
675,-7.9,95
676,22.099999999999895,205
677,11.399999999999983,60
678,-12.0,35
679,-7.599999999999994,45
680,0.3000000000000007,95
681,-8.600000000000001,30
682,-13.500000000000002,35
683,-10.2,20
684,-2.499999999999976,95
685,-1.599999999999989,80
686,-12.0,20
687,1.3999999999999986,45
688,52.899999999999885,205
689,20.499999999999893,140
690,5.500000000000018,110
691,-8.9,25
692,-8.200000000000001,35
693,-10.5,5
694,-3.999999999999986,90
695,-12.200000000000001,25
696,33.999999999999915,160
697,-2.2999999999999954,25
698,15.799999999999974,75
699,-10.5,5
700,-4.699999999999991,40
701,-10.4,10
702,-12.399999999999999,95
703,-10.5,5
704,-10.2,5
705,-10.5,5
706,-10.5,5
707,-2.299999999999999,50
708,16.399999999999977,80
709,-10.499999999999998,55
710,-12.600000000000001,85
711,-7.499999999999999,40
712,-10.5,5
713,1.9000000000000057,70
714,-7.9,25
715,16.899999999999906,120
716,26.9999999999999,145
717,-6.599999999999998,65
718,-5.399999999999998,20
719,6.499999999999995,60
720,-7.0,40
721,-4.3,75
722,-10.5,5
723,-11.5,15
724,-5.399999999999995,50
725,-5.599999999999998,40
726,-11.4,20
727,7.100000000000007,40
728,-8.100000000000001,30
729,-1.5999999999999996,65
730,17.199999999999974,65
731,-10.5,5
732,-12.0,20
733,8.799999999999956,90
734,-10.2,5
735,-9.4,15
736,-8.700000000000001,30
737,-7.800000000000001,30
738,-5.599999999999997,20
739,-1.9999999999999964,25
740,12.199999999999951,85
741,-8.700000000000001,50
742,-10.5,30
743,23.99999999999995,100
744,-10.9,15
745,-4.399999999999994,75
746,-11.2,40
747,12.599999999999932,100
748,-3.0999999999999925,65
749,-12.5,25
750,-9.799999999999999,10
751,3.6999999999999975,190
