episode,reward,steps
464,-8.8,10
465,-10.9,15
466,-11.0,10
467,-7.8999999999999995,5
468,-10.5,5
469,-7.0,15
470,8.69999999999999,35
471,-4.7999999999999945,35
472,-10.1,10
473,-9.299999999999999,5
474,-8.9,10
475,-10.6,15
476,-10.6,15
477,-9.0,15
478,-5.6,15
479,-10.5,5
480,-11.0,10
481,1.1000000000000032,35
482,-0.29999999999999716,15
483,0.10000000000001208,75
484,-11.0,10
485,-9.2,15
486,-11.1,20
487,-10.299999999999999,15
488,-8.6,15
489,-11.0,10
490,-11.0,10
491,3.1000000000000103,55
492,-10.1,10
493,-10.5,5
494,-10.0,15
495,-8.6,15
496,-10.5,5
497,-6.6,20
498,-2.3999999999999977,20
499,-11.0,10
500,-12.000000000000002,35
501,-4.099999999999999,20
502,-6.2999999999999945,40
503,-10.6,15
504,-11.4,20
505,-11.4,20
506,-10.5,5
507,-8.9,20
508,-5.2,20
509,-8.6,5
510,-6.499999999999999,20
511,-4.3999999999999995,20
512,-10.5,5
513,-1.0000000000000018,20
514,-11.0,10
515,-6.199999999999999,20
516,-11.4,20
517,-10.6,15
518,-8.1,20
519,-9.6,5
520,-2.4999999999999973,20
521,-12.0,20
522,-11.0,10
523,-10.5,5
524,-11.0,10
525,-5.8999999999999995,15
526,-10.5,5
527,-4.499999999999999,20
528,-11.0,10
529,-10.5,5
530,-11.4,20
531,-5.3,15
532,-4.799999999999999,15
533,-9.6,5
534,-9.9,30
535,-11.0,10
536,-8.3,20
537,-11.0,10
538,-8.6,5
539,-7.1,20
540,-10.4,20
541,-11.5,15
542,-11.0,10
543,-11.0,10
544,-5.499999999999998,15
545,-12.0,20
546,-9.2,20
547,-10.2,20
548,-7.8,20
549,-11.7,20
550,-12.0,20
551,-7.800000000000001,20
552,-9.4,20
553,-9.5,20
554,-10.4,10
555,-5.899999999999997,20
556,-11.0,10
557,-7.699999999999999,20
558,-10.5,5
559,3.5,20
560,-4.799999999999999,20
561,-7.399999999999999,15
562,-5.999999999999997,30
563,-12.0,20
564,-2.9999999999999964,20
565,-11.0,10
566,-12.0,20
567,-11.4,20
568,-11.4,20
569,-8.8,20
570,-11.4,20
571,-9.5,20
572,-3.9999999999999964,20
573,-11.0,10
574,-8.2,20
575,-11.4,20
576,-9.6,20
